ts_epoch,market_slug,event,signal,mid,delta,abs_z,direction_strength,volume,hint_candidate,decision,reason,regime,spread,pos_size_hint,game_phase,pm_period,pm_score_diff
1771900744,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.75500,0.00500,1.18095,0.005905,249341,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.01000,0.0000,LIVE,3,6
1771900756,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.73500,-0.00500,1.08609,-0.005430,250014,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.01000,0.0000,LIVE,3,7
1771900756,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.72500,-0.01000,2.46277,-0.024628,250014,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.03000,0.0000,LIVE,3,7
1771900756,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.73000,0.00500,1.96026,0.009801,250014,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.02000,0.0000,LIVE,3,7
1771900757,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.72000,-0.01000,3.23085,-0.032309,250014,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.04000,0.0000,LIVE,3,7
1771900757,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.72500,0.00500,2.40341,0.012017,250014,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.03000,0.0000,LIVE,3,7
1771900758,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.72000,-0.00500,2.76315,-0.013816,250014,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.02000,0.0000,LIVE,3,7
1771900761,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.70500,-0.01500,3.58508,-0.053776,250020,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.03000,0.0000,LIVE,3,7
1771900761,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.71000,0.00500,2.79243,0.013962,250020,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.02000,0.0000,LIVE,3,7
1771900761,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.72000,0.01000,1.80074,0.018007,250020,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.02000,0.0000,LIVE,3,7
1771900761,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.71500,-0.00500,2.08197,-0.010410,250020,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.03000,0.0000,LIVE,3,7
1771900762,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,SPIKE,0.72000,0.00500,1.59078,0.007954,250020,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.02000,0.0000,LIVE,3,7
1771900762,aec-nba-sac-mem-2026-02-23,Sacramento vs. Memphis,DIP,0.71500,-0.00500,1.88881,-0.009444,250020,,REJECT,WEAK_SIGNAL,MEAN_REVERT,0.03000,0.0000,LIVE,3,7
1771900774,aec-nba-sa-det-2026-02-23,San Antonio vs. Detroit,DIP,0.96500,-0.00500,3.05085,-0.015254,619710,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.03000,0.0000,LIVE,4,10
1771900778,aec-nba-sa-det-2026-02-23,San Antonio vs. Detroit,DIP,0.96500,-0.00500,3.23199,-0.016160,620765,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.03000,0.0000,LIVE,4,10
1771900794,aec-cbb-hou-kan-2026-02-23,Houston vs. Kansas,SPIKE,0.70500,0.00500,4.12311,0.020616,183168,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.03000,0.0000,LIVE,1,6
1771900795,aec-cbb-hou-kan-2026-02-23,Houston vs. Kansas,SPIKE,0.70500,0.00500,3.00000,0.015000,183451,FADE,REJECT,REJECT_BOUNDS,MEAN_REVERT,0.03000,0.0000,LIVE,1,6
